,date,x1,x2,high,low,close,width
238,2020-02-21,122099.0234375,122225.9384765625,29146.529296875,28892.69921875,28992.41015625,126.9150390625
239,2020-02-24,122225.9384765625,122471.18359375,28402.9296875,27912.439453125,27960.80078125,245.2451171875
240,2020-02-25,122471.18359375,123046.9736328125,28149.19921875,26997.619140625,27081.359375,575.7900390625
241,2020-02-26,123046.9736328125,123372.8779296875,27542.779296875,26890.970703125,26957.58984375,325.904296875
242,2020-02-27,123372.8779296875,123884.123046875,26775.310546875,25752.8203125,25766.640625,511.2451171875
243,2020-02-28,123884.123046875,124290.73828125,25494.240234375,24681.009765625,25409.359375,406.615234375
244,2020-03-02,124290.73828125,124947.8427734375,26706.169921875,25391.9609375,26703.3203125,657.1044921875
245,2020-03-03,124947.8427734375,125636.998046875,27084.58984375,25706.279296875,25917.41015625,689.1552734375
246,2020-03-04,125636.998046875,126045.0126953125,27102.33984375,26286.310546875,27090.859375,408.0146484375
247,2020-03-05,126045.0126953125,126409.3076171875,26671.919921875,25943.330078125,26121.279296875,364.294921875
248,2020-03-06,126409.3076171875,126793.1884765625,25994.380859375,25226.619140625,25864.779296875,383.880859375
249,2020-03-09,126793.1884765625,127436.3330078125,24992.359375,23706.0703125,23851.01953125,643.14453125
250,2020-03-10,127436.3330078125,128101.658203125,25020.990234375,23690.33984375,25018.16015625,665.3251953125
251,2020-03-11,128101.658203125,128739.8134765625,24604.630859375,23328.3203125,23553.220703125,638.1552734375
252,2020-03-12,128739.8134765625,129581.5576171875,22837.94921875,21154.4609375,21200.619140625,841.744140625
253,2020-03-13,129581.5576171875,130533.7529296875,23189.759765625,21285.369140625,23185.619140625,952.1953125
254,2020-03-16,130533.7529296875,131359.662109375,21768.279296875,20116.4609375,20188.51953125,825.9091796875
255,2020-03-17,131359.662109375,132108.20703125,21379.349609375,19882.259765625,21237.380859375,748.544921875
256,2020-03-18,132108.20703125,132894.1416015625,20489.330078125,18917.4609375,19898.919921875,785.9345703125
257,2020-03-19,132894.1416015625,133526.8916015625,20442.630859375,19177.130859375,20087.189453125,632.75
258,2020-03-20,133526.8916015625,134245.38671875,20531.259765625,19094.26953125,19173.98046875,718.4951171875
259,2020-03-23,134245.38671875,134699.06640625,19121.009765625,18213.650390625,18591.9296875,453.6796875
260,2020-03-24,134699.06640625,135243.291015625,20737.69921875,19649.25,20704.91015625,544.224609375
261,2020-03-25,135243.291015625,135984.0859375,22019.9296875,20538.33984375,21200.55078125,740.794921875
262,2020-03-26,135984.0859375,136568.06640625,22595.060546875,21427.099609375,22552.169921875,583.98046875
263,2020-03-27,136568.06640625,136997.216796875,22327.5703125,21469.26953125,21636.779296875,429.150390625
264,2020-03-30,136997.216796875,137425.2216796875,22378.08984375,21522.080078125,22327.48046875,428.0048828125
265,2020-03-31,137425.2216796875,137739.3662109375,22480.369140625,21852.080078125,21917.16015625,314.14453125
266,2020-04-01,137739.3662109375,138090.771484375,21487.240234375,20784.4296875,20943.509765625,351.4052734375
267,2020-04-02,138090.771484375,138462.146484375,21477.76953125,20735.01953125,21413.439453125,371.375
268,2020-04-03,138462.146484375,138754.5068359375,21447.810546875,20863.08984375,21052.529296875,292.3603515625
269,2020-04-06,138754.5068359375,139299.416015625,22783.44921875,21693.630859375,22679.990234375,544.9091796875
270,2020-04-07,139299.416015625,139790.8115234375,23617.240234375,22634.44921875,22653.859375,491.3955078125
271,2020-04-08,139790.8115234375,140206.0166015625,23513.400390625,22682.990234375,23433.5703125,415.205078125
272,2020-04-09,140206.0166015625,140458.466796875,24008.990234375,23504.08984375,23719.369140625,252.4501953125
