,Date,High,Low,Close
14744,26/05/1983,1237.04,1215.17,1223.49
14745,27/05/1983,1229.2,1209.95,1216.14
14746,31/05/1983,1217.59,1191.95,1199.98
14747,01/06/1983,1208.3,1187.69,1202.21
14748,02/06/1983,1218.15,1195.01,1211.44
14749,03/06/1983,1222.46,1204.23,1213.04
14750,06/06/1983,1223.26,1203.83,1214.24
14751,07/06/1983,1218.15,1193.21,1194.91
14752,08/06/1983,1199.52,1179.59,1185.5
14753,09/06/1983,1196.71,1176.78,1189.0
14754,10/06/1983,1204.53,1187.3,1196.11
14755,13/06/1983,1223.46,1199.12,1220.55
14756,14/06/1983,1237.28,1214.64,1227.26
14757,15/06/1983,1240.18,1216.85,1237.28
14758,16/06/1983,1259.82,1236.08,1248.3
14759,17/06/1983,1260.72,1232.87,1242.19
14760,20/06/1983,1252.2,1230.77,1239.18
14761,21/06/1983,1253.0,1228.27,1247.4
14762,22/06/1983,1258.21,1234.27,1245.69
14763,23/06/1983,1250.6,1231.67,1241.79
14764,24/06/1983,1250.2,1229.87,1241.69
14765,27/06/1983,1246.29,1221.85,1229.47
14766,28/06/1983,1237.68,1205.83,1209.23
14767,29/06/1983,1222.16,1201.22,1213.84
14768,30/06/1983,1229.27,1209.54,1221.96
14769,01/07/1983,1231.07,1213.94,1225.26
14770,05/07/1983,1217.25,1200.22,1208.53
14771,06/07/1983,1224.46,1202.72,1220.65
14772,07/07/1983,1227.26,1203.33,1210.44
14773,08/07/1983,1218.95,1201.52,1207.23
14774,11/07/1983,1221.96,1205.53,1215.54
14775,12/07/1983,1218.35,1194.11,1198.52
14776,13/07/1983,1205.83,1189.4,1197.82
14777,14/07/1983,1215.04,1195.11,1204.33
14778,15/07/1983,1205.73,1187.1,1192.31
14779,18/07/1983,1197.62,1179.79,1189.9
14780,19/07/1983,1205.13,1188.4,1197.12
14781,20/07/1983,1230.57,1206.03,1227.86
14782,21/07/1983,1238.48,1217.35,1229.37
14783,22/07/1983,1238.18,1220.45,1231.17
14784,25/07/1983,1239.78,1217.45,1232.87
14785,26/07/1983,1250.0,1226.46,1243.69
14786,27/07/1983,1258.51,1225.86,1230.47
14787,28/07/1983,1236.58,1211.74,1216.35
14788,29/07/1983,1216.75,1188.1,1199.22
14789,01/08/1983,1204.33,1183.79,1194.21
14790,02/08/1983,1202.52,1183.89,1188.0
14791,03/08/1983,1203.73,1179.29,1197.82
14792,04/08/1983,1200.52,1166.57,1183.09
14793,05/08/1983,1191.91,1173.58,1183.29
14794,08/08/1983,1180.19,1157.55,1163.06
14795,09/08/1983,1177.28,1152.14,1168.27
14796,10/08/1983,1182.19,1157.25,1175.98
14797,11/08/1983,1185.87,1165.55,1174.39
14798,12/08/1983,1189.63,1169.82,1182.83
14799,15/08/1983,1208.74,1186.69,1193.5
14800,16/08/1983,1199.7,1180.49,1190.45
14801,17/08/1983,1212.09,1186.28,1206.5
14802,18/08/1983,1215.45,1188.52,1192.48
14803,19/08/1983,1200.51,1183.64,1194.21
14804,22/08/1983,1216.26,1191.36,1203.15
14805,23/08/1983,1205.49,1186.38,1192.89
14806,24/08/1983,1199.8,1179.67,1184.25
14807,25/08/1983,1195.22,1173.27,1185.06
14808,26/08/1983,1196.95,1174.59,1192.07
14809,29/08/1983,1198.37,1178.15,1194.11
14810,30/08/1983,1204.37,1187.2,1196.04
14811,31/08/1983,1219.82,1191.16,1216.16
14812,01/09/1983,1221.24,1197.36,1206.81
14813,02/09/1983,1221.34,1204.17,1215.45
14814,06/09/1983,1244.11,1222.05,1238.72
14815,07/09/1983,1253.96,1229.27,1244.11
14816,08/09/1983,1252.95,1232.83,1246.14
14817,09/09/1983,1252.74,1233.33,1239.74
14818,12/09/1983,1260.8,1225.0,1229.07
14819,13/09/1983,1233.43,1214.63,1224.09
14820,14/09/1983,1233.94,1218.8,1229.47
14821,15/09/1983,1232.83,1213.01,1215.04
14822,16/09/1983,1232.72,1210.16,1225.71
14823,19/09/1983,1242.68,1221.24,1233.94
14824,20/09/1983,1257.01,1233.64,1249.19
14825,21/09/1983,1255.89,1236.79,1243.29
14826,22/09/1983,1261.28,1236.79,1257.52
14827,23/09/1983,1265.55,1246.24,1255.59
14828,26/09/1983,1270.73,1247.56,1260.77
14829,27/09/1983,1259.25,1239.33,1247.97
14830,28/09/1983,1253.56,1234.35,1241.97
14831,29/09/1983,1252.03,1236.08,1240.14
14832,30/09/1983,1242.89,1224.59,1233.13
14833,03/10/1983,1237.7,1216.26,1231.3
14834,04/10/1983,1247.56,1225.71,1236.69
14835,05/10/1983,1254.88,1228.96,1250.2
14836,06/10/1983,1272.15,1246.95,1268.8
14837,07/10/1983,1280.28,1262.6,1272.15
14838,10/10/1983,1286.69,1261.59,1284.65
14839,11/10/1983,1285.26,1261.89,1265.14
14840,12/10/1983,1273.07,1252.95,1259.65
14841,13/10/1983,1270.63,1250.51,1261.38
14842,14/10/1983,1270.12,1251.83,1263.52
14843,17/10/1983,1278.66,1256.2,1268.7
14844,18/10/1983,1272.76,1245.53,1250.81
14845,19/10/1983,1255.28,1229.37,1246.75
14846,20/10/1983,1258.74,1241.06,1251.52
14847,21/10/1983,1260.77,1231.61,1248.88
14848,24/10/1983,1252.54,1227.74,1248.98
14849,25/10/1983,1263.41,1245.22,1252.44
14850,26/10/1983,1259.15,1238.62,1243.8
14851,27/10/1983,1249.09,1230.49,1242.07
14852,28/10/1983,1248.68,1217.07,1223.48
14853,31/10/1983,1236.48,1214.63,1225.2
14854,01/11/1983,1233.94,1210.47,1229.27
14855,02/11/1983,1244.11,1220.83,1237.3
14856,03/11/1983,1242.68,1222.76,1227.13
14857,04/11/1983,1227.74,1211.89,1218.29
14858,07/11/1983,1226.52,1209.35,1214.84
14859,08/11/1983,1222.05,1208.74,1214.94
14860,09/11/1983,1235.47,1212.2,1232.52
14861,10/11/1983,1245.83,1226.83,1235.87
14862,11/11/1983,1253.56,1230.79,1250.2
14863,14/11/1983,1265.04,1244.61,1254.07
14864,15/11/1983,1260.87,1242.28,1247.97
14865,16/11/1983,1260.47,1242.07,1251.32
14866,17/11/1983,1262.09,1243.19,1254.67
14867,18/11/1983,1260.77,1240.35,1251.02
14868,21/11/1983,1272.36,1248.17,1268.8
14869,22/11/1983,1287.8,1262.91,1275.81
14870,23/11/1983,1284.55,1265.04,1275.61
14871,25/11/1983,1282.22,1268.8,1277.44
14872,28/11/1983,1279.78,1263.11,1269.82
14873,29/11/1983,1290.96,1264.23,1287.2
14874,30/11/1983,1296.95,1271.04,1276.02
14875,01/12/1983,1285.47,1265.45,1275.1
14876,02/12/1983,1281.3,1259.76,1265.24
14877,05/12/1983,1275.41,1256.4,1270.53
14878,06/12/1983,1281.3,1262.8,1269.31
14879,07/12/1983,1282.42,1263.21,1273.78
14880,08/12/1983,1278.15,1256.91,1261.89
14881,09/12/1983,1268.09,1252.03,1260.06
14882,12/12/1983,1269.11,1248.78,1261.59
14883,13/12/1983,1267.17,1250.81,1255.89
14884,14/12/1983,1261.38,1241.77,1246.65
14885,15/12/1983,1250.2,1231.2,1236.79
14886,16/12/1983,1248.27,1231.4,1242.17
14887,19/12/1983,1254.88,1238.21,1244.61
14888,20/12/1983,1251.93,1236.79,1241.97
14889,21/12/1983,1260.26,1240.24,1254.98
14890,22/12/1983,1265.24,1246.65,1253.66
14891,23/12/1983,1259.25,1241.97,1250.51
14892,27/12/1983,1267.28,1249.8,1263.72
14893,28/12/1983,1268.9,1257.17,1263.21
14894,29/12/1983,1273.88,1256.3,1260.16
14895,30/12/1983,1265.24,1253.15,1258.64
14896,03/01/1984,1264.13,1247.46,1252.74
14897,04/01/1984,1271.36,1246.55,1269.05
14898,05/01/1984,1290.72,1268.74,1282.24
14899,06/01/1984,1293.66,1271.78,1286.64
14900,09/01/1984,1295.33,1275.86,1286.22
14901,10/01/1984,1295.44,1273.97,1278.48
